Label,Metric,Value
A1,precision,0.625
A1,recall,0.6896551724137931
A1,f1_score,0.6557377049180328
A2,precision,0.8076923076923077
A2,recall,0.8076923076923077
A2,f1_score,0.8076923076923077
A3,precision,0.7727272727272727
A3,recall,0.5483870967741935
A3,f1_score,0.6415094339622641
B1,precision,0.9354838709677419
B1,recall,0.8285714285714286
B1,f1_score,0.8787878787878788
B2,precision,0.9166666666666666
B2,recall,0.8461538461538461
B2,f1_score,0.8799999999999999
B3,precision,0.9444444444444444
B3,recall,0.9444444444444444
B3,f1_score,0.9444444444444444
B4,precision,0.8181818181818182
B4,recall,1.0
B4,f1_score,0.9
