Label,Metric,Value
A1,precision,0.7222222222222222
A1,recall,0.4482758620689655
A1,f1_score,0.5531914893617021
A2,precision,0.8571428571428571
A2,recall,0.6923076923076923
A2,f1_score,0.7659574468085107
A3,precision,0.6857142857142857
A3,recall,0.7741935483870968
A3,f1_score,0.7272727272727272
B1,precision,0.9354838709677419
B1,recall,0.8285714285714286
B1,f1_score,0.8787878787878788
B2,precision,0.9166666666666666
B2,recall,0.8461538461538461
B2,f1_score,0.8799999999999999
B3,precision,0.96
B3,recall,0.6666666666666666
B3,f1_score,0.7868852459016393
B4,precision,0.9
B4,recall,1.0
B4,f1_score,0.9473684210526316
