Label,Metric,Value
A1,precision,0.4375
A1,recall,0.7241379310344828
A1,f1_score,0.5454545454545455
A2,precision,0.7777777777777778
A2,recall,0.2692307692307692
A2,f1_score,0.39999999999999997
A3,precision,0.4583333333333333
A3,recall,0.7096774193548387
A3,f1_score,0.5569620253164557
B1,precision,0.8
B1,recall,0.6857142857142857
B1,f1_score,0.7384615384615385
B2,precision,0.88
B2,recall,0.8461538461538461
B2,f1_score,0.8627450980392156
B3,precision,0.7894736842105263
B3,recall,0.8333333333333334
B3,f1_score,0.8108108108108109
B4,precision,0.7878787878787878
B4,recall,0.9629629629629629
B4,f1_score,0.8666666666666665
